"20MICRONS","INE144J01027"
"JUSTDIAL","INE599M01018"
"JVLAGRO","INE430G01026"
"JYOTHYLAB","INE668F01031"
"JYOTISTRUC","INE197A01024"
"KABRAEXTRU","INE900B01029"
"KAJARIACER","INE217B01036"
"KAKATCEM","INE437B01014"
"KALPATPOWR","INE220B01022"
"KALYANI","INE610E01010"
"KALYANIFRG","INE314G01014"
"KAMATHOTEL","INE967C01018"
"KAMDHENU","INE390H01012"
"KANANIIND","INE879E01037"
"KANORICHEM","INE138C01024"
"KANSAINER","INE531A01024"
"KARMAENG","INE725L01011"
"KARURVYSYA","INE036D01028"
"KAUSHALYA","INE234I01010"
"KAVVERITEL","INE641C01019"
"KAYA","INE587G01015"
"KCP","INE805C01028"
"KCPSUGIND","INE790B01024"
"KDDL","INE291D01011"
"KEC","INE389H01022"
"KECL","INE134B01017"
"KEI","INE878B01027"
"KELLTONTEC","INE164B01022"
"KERNEX","INE202H01019"
"KESARENT","INE133B01019"
"KESORAMIND","INE087A01019"
"KEYCORPSER","INE681C01015"
"KGL","INE299C01024"
"KHAITANELE","INE761A01019"
"KHAITANLTD","INE731C01018"
"KHANDSE","INE060B01014"
"KICL","INE029L01018"
"KILITCH","INE729D01010"
"KINGFA","INE473D01015"
"KIOCL","INE880L01014"
"KIRIINDUS","INE415I01015"
"KIRLOSBROS","INE732A01036"
"KIRLOSENG","INE146L01010"
"KIRLOSIND","INE250A01039"
"KITEX","INE602G01020"
"KKCL","INE401H01017"
"KMSUGAR","INE157H01023"
"KNRCON","INE634I01029"
"KOHINOOR","INE080B01012"
"KOKUYOCMLN","INE760A01029"
"KOLTEPATIL","INE094I01018"
"KOPRAN","INE082A01010"
"KOTAKBANK","INE237A01028"
"KOTARISUG","INE419A01022"
"KOTHARIPET","INE720A01015"
"KOTHARIPRO","INE823A01017"
"KPIT","INE836A01035"
"KPRMILL","INE930H01023"
"KRBL","INE001B01026"
"KREBSBIO","INE268B01013"
"KRIDHANINF","INE524L01026"
"KSBPUMPS","INE999A01015"
"KSCL","INE455I01029"
"KSERASERA","INE216D01026"
"KSK","INE143H01015"
"KSL","INE907A01026"
"KTIL","INE096L01025"
"KTKBANK","INE614B01018"
"KWALITY","INE775B01025"
"L&TFH","INE498L01015"
"LAKPRE","INE651C01018"
"LAKSHMIEFL","INE992B01026"
"LAKSHVILAS","INE694C01018"
"LALPATHLAB","INE600L01024"
"LAMBODHARA","INE112F01022"
"LAOPALA","INE059D01020"
"LAURUSLABS","INE947Q01010"
"LAXMIMACH","INE269B01029"
"LCCINFOTEC","INE938A01021"
"LEEL","INE245C01019"
"LFIC","INE850E01012"
"LGBBROSLTD","INE337A01034"
"LIBERTSHOE","INE557B01019"
"LICHSGFIN","INE115A01026"
"LINCOLN","INE405C01035"
"LINCPEN","INE802B01019"
"LINDEINDIA","INE473A01011"
"LITL","INE785C01048"
"LML","INE862A01015"
"LOKESHMACH","INE397H01017"
"LOTUSEYE","INE947I01017"
"LOVABLE","INE597L01014"
"LPDC","INE197J01017"
"LSIL","INE093R01011"
"LT","INE018A01030"
"LTI","INE214T01019"
"LTTS","INE010V01017"
"LUMAXIND","INE162B01018"
"LUMAXTECH","INE872H01019"
"LUPIN","INE326A01037"
"LUXIND","INE150G01020"
"LYCOS","INE425B01027"
"LYKALABS","INE933A01014"
"LYPSAGEMS","INE142K01011"
"M&M","INE101A01026"
"M&MFIN","INE774D01024"
"MAANALU","INE215I01019"
"MADHAV","INE925C01016"
"MADHUCON","INE378D01032"
"MADRASFERT","INE414A01015"
"MAGMA","INE511C01022"
"MAGNUM","INE387I01016"
"MAHABANK","INE457A01014"
"MAHASTEEL","INE451L01014"
"MAHINDCIE","INE536H01010"
"MAHLIFE","INE813A01018"
"MAHSCOOTER","INE288A01013"
"MAHSEAMLES","INE271B01025"
"MAITHANALL","INE683C01011"
"MAJESCO","INE898S01029"
"MALUPAPER","INE383H01017"
"MALWACOTT","INE272B01015"
"MANAKALUCO","INE859Q01017"
"MANAKCOAT","INE830Q01018"
"MANAKINDST","INE831Q01016"
"MANAKSIA","INE015D01022"
"MANAKSTEEL","INE824Q01011"
"MANALIPETC","INE201A01024"
"MANAPPURAM","INE522D01027"
"MANDHANA","INE087J01010"
"MANGALAM","INE584F01014"
"MANGCHEFER","INE558B01017"
"MANGLMCEM","INE347A01017"
"MANGTIMBER","INE805B01012"
"MANINDS","INE993A01026"
"MANINFRA","INE949H01023"
"MANPASAND","INE122R01018"
"MANUGRAPH","INE867A01022"
"MARALOVER","INE882A01013"
"MARATHON","INE182D01012"
"MARICO","INE196A01026"
"MARKSANS","INE750C01026"
"MARUTI","INE585B01010"
"MASKINVEST","INE885F01015"
