"2017-11-30 22:02:17.172768"
"StockName","LastTrade","LastHi","Hi52","LastLo","Lo52","EPS","PE","DivYield","LastDiv","NetProfitMargin","OperatingMargin","EBITDMargin","ReturnOnAverageAssets","ReturnOnAverageEquity","ExchangeCode","Exchange"
"Greenearth Resources and Projects Ltd","0.49","","0.98","","0.45","0.57","0.86","","","4268.15%","-3437.56%","-37.74%","16.42%","","533016","BSE"
"Automotive Axles Ltd.","1,439.85","1,461.00","1,461.00","1,381.65","582.00","40.46","35.59","0.56","8.00","4.24%","6.35%","9.80%","8.93%","13.82%","505010","BSE"
"Automobile Corp Of Goa Ltd","1,162.20","1,190.00","1,269.80","1,122.00","546.00","31.92","36.41","1.51","12.50","4.19%","4.97%","6.09%","7.28%","10.88%","505036","BSE"
"Autoline Industries Ltd","117.55","119.15","119.15","108.00","46.50","-49.23","","","","-19.81%","-14.29%","0.91%","-14.07%","-70.06%","532797","BSE"
"Autolite India Ltd","73.00","74.05","110.60","72.60","47.10","0.57","129.05","","","0.41%","4.89%","7.28%","0.48%","1.20%","500029","BSE"
"Automotive Stampings and Assemblies Ltd","84.70","87.40","101.75","84.50","50.70","-13.32","","","","-0.87%","1.36%","0.29%","-1.40%","-14.84%","520119","BSE"
"Autoriders Finance Ltd","0.53","","1.65","","0.53","-0.10","","","","","","","-75.95%","","500030","BSE"
"Avantel Ltd.","359.10","367.50","382.00","357.00","104.05","38.85","9.24","0.56","2.00","2.77%","6.12%","10.99%","2.93%","4.82%","532406","BSE"
"Avanti Feeds Ltd","2,600.30","2,639.95","3,000.00","2,454.75","441.00","92.68","28.06","0.35","9.00","8.62%","12.09%","12.62%","26.65%","40.20%","512573","BSE"
"Avon Corporation Ltd","0.17","","0.76","","0.17","-6.15","","","","-57.26%","-29.13%","-12.22%","","","532995","BSE"
"Avon Lifesciences Ltd","14.25","14.25","14.25","14.25","4.04","-7.92","","","","","","","-7.50%","","531541","BSE"
"Avt Natural Products Ltd","48.40","50.70","50.95","46.40","29.85","","","0.83","0.20","7.15%","10.72%","12.96%","8.36%","10.55%","519105","BSE"
"Axis Bank Ltd","536.00","547.90","565.40","534.25","424.60","6.11","87.73","0.93","5.00","12.88%","19.33%","45.03%","0.69%","7.19%","532215","BSE"
"AXISCADES Engineering Technologies Ltd","157.20","160.00","205.00","153.00","107.50","1.25","126.00","","","2.81%","4.87%","7.72%","3.93%","5.89%","532395","BSE"
"Axon Ventures Ltd","1.50","","4.33","","1.05","-0.32","","","","0.71%","0.69%","0.73%","0.21%","0.21%","505506","BSE"
"Bafna Pharmaceuticals Limited","25.20","25.75","35.25","24.00","20.00","1.00","25.16","","","-29.96%","-15.44%","-8.94%","-10.53%","-38.02%","532989","BSE"
"Bafna Spinning Mills and Exports Ltd","0.06","","0.19","","0.05","","","","","1.55%","2.33%","3.07%","","","531733","BSE"
