"2017-11-30 23:09:11.325591"
"StockName","LastTrade","LastHi","Hi52","LastLo","Lo52","EPS","PE","DivYield","LastDiv","NetProfitMargin","OperatingMargin","EBITDMargin","ReturnOnAverageAssets","ReturnOnAverageEquity","ExchangeCode","Exchange"
"Sphere Global Services Ltd","41.60","43.00","78.75","41.50","37.10","8.90","4.67","1.20","0.50","29.47%","36.20%","36.60%","43.86%","53.43%","532172","BSE"
"Comfort Intech Ltd","0.81","0.84","1.03","0.75","0.56","-0.03","","1.23","0.01","6.89%","8.43%","10.54%","0.66%","0.69%","531216","BSE"
"Commex Technology Ltd","0.55","0.55","0.85","0.51","0.40","-0.23","","","","","","","-77.93%","-80.95%","532342","BSE"
"CDI International Ltd","1.71","","4.45","","1.61","-0.26","","","","","","","-0.38%","-0.49%","526141","BSE"
"Competent Automobiles Co Ltd","206.70","209.00","260.00","205.90","147.50","21.01","9.84","0.48","1.00","0.98%","2.15%","2.79%","5.14%","11.11%","531041","BSE"
"Compuage Infocom Ltd","37.10","38.60","305.95","36.40","21.35","3.04","12.22","1.08","0.40","0.50%","1.50%","1.60%","2.16%","16.28%","532456","BSE"
"Compucom Software Ltd","14.37","14.55","19.39","14.25","10.56","0.33","43.47","0.70","0.10","4.49%","4.07%","30.78%","1.42%","1.98%","532339","BSE"
"Computer Point Ltd","0.95","","2.25","","0.75","0.01","77.30","","","0.11%","-3.08%","-2.89%","0.20%","0.20%","507833","BSE"
"Conart Engineers Ltd","46.00","46.00","64.90","42.00","29.00","2.75","16.70","","","6.37%","6.98%","9.50%","6.98%","8.51%","522231","BSE"
"Confidence Petroleum India Ltd","30.05","31.00","34.25","29.80","6.51","0.30","100.92","","0.05","0.97%","3.44%","8.30%","1.26%","2.34%","526829","BSE"
"Consolidated Construction Consortium Ltd","9.55","9.55","10.38","8.75","2.80","3.96","2.41","","","-26.85%","-5.35%","-2.51%","-10.47%","-465.83%","532902","BSE"
"CSL Finance Ltd","750.00","785.00","785.00","725.00","150.00","30.50","24.59","","1.00","40.49%","58.36%","58.67%","12.68%","15.45%","530067","BSE"
"Container Corporation of India Ltd","1,307.50","1,327.00","1,418.90","1,301.00","675.20","35.52","36.81","1.16","7.50","14.28%","14.90%","21.27%","8.64%","10.01%","531344","BSE"
"Control Print Ltd","509.45","524.90","524.90","506.00","225.00","9.55","53.35","1.18","3.50","17.30%","22.99%","25.91%","14.79%","19.97%","522295","BSE"
"Coral Laboratories Ltd","915.00","920.00","1,190.00","910.00","566.00","46.57","19.65","0.55","5.00","16.49%","24.89%","26.79%","14.77%","18.17%","524506","BSE"
"Cords Cable Industries Ltd.","128.00","131.50","153.50","128.00","54.25","3.97","32.22","","","1.56%","8.51%","10.19%","1.79%","4.09%","532941","BSE"
"CORE Education and Technologies Ltd","1.77","","7.89","","1.67","-43.18","","","","-40.00%","-23.42%","23.44%","-11.09%","-24.33%","512199","BSE"
"Coromandel International Ltd","517.95","521.30","542.90","504.45","248.00","23.09","22.44","0.97","5.00","4.68%","9.66%","10.64%","5.35%","17.27%","506395","BSE"
"Corporation Bank","42.75","43.15","64.70","42.50","38.05","","","","","7.49%","11.17%","25.41%","0.23%","4.69%","532179","BSE"
"COSCO India Ltd","295.00","306.80","410.10","295.00","157.60","12.26","24.06","","","4.04%","8.73%","7.05%","6.43%","19.85%","530545","BSE"
"Cosmo Films Ltd","349.30","354.00","468.80","346.00","318.50","40.54","8.62","2.86","10.00","5.60%","7.30%","10.53%","","","508814","BSE"
"Country Club Hospitality & Holidays Ltd","14.95","15.17","17.20","14.60","11.68","0.30","50.05","","","1.08%","11.56%","21.59%","0.29%","0.47%","526550","BSE"
"Country Condo's Ltd","3.95","3.99","5.25","3.65","2.55","0.08","50.09","","","2.36%","4.11%","5.14%","2.37%","3.77%","531624","BSE"
"Coventry Coil-o-Matic (Haryana) Ltd","3.39","","6.46","","2.20","-2.35","","","","-2.96%","-2.56%","-1.94%","-10.02%","","523415","BSE"
"Cox & Kings Ltd","261.05","264.00","305.50","256.65","162.50","18.71","13.95","0.38","1.00","2.95%","10.39%","11.87%","2.31%","5.81%","533144","BSE"
"Cranes Software International Ltd","1.50","1.64","1.84","1.37","0.84","-7.57","","","","-27.37%","-7.98%","1.32%","-7.27%","","512093","BSE"
"Cravatex Ltd","457.50","457.50","538.25","457.50","188.00","","","","","-5.14%","-3.08%","-1.80%","-6.98%","-22.03%","509472","BSE"
"Crazy Infotech Ltd","0.19","","0.20","","0.19","-0.03","","","","-186.39%","-186.47%","-72.85%","-56.09%","","524388","BSE"
"Creative Eye Ltd","4.84","4.84","5.65","4.84","3.06","-0.05","","","","2.92%","-14.84%","-12.21%","1.21%","1.37%","532392","BSE"
"Cressanda Solutions Ltd","2.66","","3.00","","2.66","-0.16","","","","","","","-18.39%","-18.40%","512379","BSE"
"Crest Animation Studios Limited","1.05","","5.19","","0.00","","","","","-40.97%","-40.92%","20.20%","-6.36%","-7.85%","526785","BSE"
"CRISIL Ltd.","1,860.00","1,875.05","2,292.00","1,840.00","1,752.45","41.10","45.26","1.45","6.00","19.02%","25.13%","28.65%","21.59%","31.84%","500092","BSE"
"Mahavir Industries Ltd","3.76","3.76","8.85","3.76","3.76","-1.14","","","","","","","-2.06%","-2.58%","531648","BSE"
"CG Power and Industrial Solutions Ltd","86.50","87.95","97.30","85.50","55.60","-1.40","","","","1.52%","3.83%","7.59%","0.85%","2.07%","500093","BSE"
"COSYN Ltd","86.85","90.00","252.00","81.55","66.40","8.18","10.62","1.15","1.00","20.72%","20.65%","23.59%","20.62%","35.26%","538922","BSE"
