"2017-12-01 15:11:27.636468"
"StockName","LastTrade","LastHi","Hi52","LastLo","Lo52","BookValue","EPS","PE","DivYield","LastDiv","NetProfitMargin","OperatingMargin","EBITDMargin","ReturnOnAverageAssets","ReturnOnAverageEquity","ExchangeCode","Exchange"
"524594","97.6","0","0","0","0","107.943","335.448","0","0","0.0","2.14%","1.40%","0.02093","0.0","0.0","524594","BSE"
"531568","1.84","0","0","0","0","7.056","0.779","0","0","0.0","0.15%","0.26%","0.0","0.000120000004","0.00016000001","531568","BSE"
"532888","506.7","0","0","0","0","133.308","338.692","0","0","0.0","3.83%","8.54%","0.11123","0.0","0.0","532888","BSE"
"530355","206.25","0","0","0","0","31.369","70.657","0","0","0.0","-0.77%","-5.81%","0.029089998","0.0","0.0","530355","BSE"
"500820","1147.75","0","0","0","0","79.257","160.244","0","0","0.0","11.92%","16.45%","0.18574","0.0","0.0","500820","BSE"
"519532","19.4","0","0","0","0","33.552","20.119","0","0","0.0","6.23%","1.87%","0.026589999","0.00596","0.03791","519532","BSE"
"530723","51.0","0","0","0","0","48.647","63.776","0","0","0.0","-11.89%","-7.79%","0.0","-0.02631","-0.09894","530723","BSE"
"526433","135.55","0","0","0","0","95.257","180.724","0","0","0.0","0.81%","4.62%","0.06684","0.0","0.0","526433","BSE"
"500024","6.91","0","0","0","0","1.102","6.838","0","0","0.0","-34.77%","-16.51%","-0.10256","-0.01752","-0.70072997","500024","BSE"
"502015","41.65","0","0","0","0","25.78","37.502","0","0","0.0","7.93%","11.42%","0.1699","0.0","0.0","502015","BSE"
"532830","841.25","0","0","0","0","70.724","156.301","0","0","0.0","7.63%","10.96%","0.13361","0.0","0.0","532830","BSE"
"506820","1135.35","0","0","0","0","72.173","211.102","0","0","0.0","3.34%","0.41%","0.03596","0.0","0.0","506820","BSE"
"530187","1.63","0","0","0","0","1.033","0.063","0","0","0.0","29.37%","46.31%","0.49633","0.0","0.0","530187","BSE"
"532759","106.45","0","0","0","0","91.13","31.26","0","0","0.0","22.46%","54.38%","0.56326","0.04644","0.0796","532759","BSE"
"531795","426.55","0","0","0","0","82.476","227.417","0","0","0.0","8.08%","11.70%","0.12717","0.0","0.0","531795","BSE"
"500028","10.0","0","0","0","0","19.868","10.027","0","0","0.0","281.33%","6.74%","0.07619","0.0","0.0","500028","BSE"
"532668","184.5","0","0","0","0","292.796","297.636","0","0","0.0","3.96%","6.94%","0.09747","0.0","0.0","532668","BSE"
"530233","96.7","0","0","0","0","16.036","52.851","0","0","0.0","8.68%","10.14%","0.12361","0.0","0.0","530233","BSE"
"522005","61.1","0","0","0","0","154.841","213.466","0","0","0.0","-4.55%","-4.17%","-0.026919998","0.0","0.0","522005","BSE"
"505010","1439.85","0","0","0","0","248.662","754.177","0","0","0.0","4.42%","6.53%","0.09969","0.0","0.0","505010","BSE"
"505036","1162.2","0","0","0","0","306.161","734.371","0","0","0.0","4.35%","5.09%","0.06291","0.0","0.0","505036","BSE"
"532797","117.15","0","0","0","0","45.562","241.802","0","0","0.0","-19.37%","-5.41%","0.0099599995","0.0","0.0","532797","BSE"
"520119","84.7","0","0","0","0","11.074","190.399","0","0","0.0","-3.75%","-5.44%","-0.02384","0.0","0.0","520119","BSE"
"519105","48.4","0","0","0","0","14.604","20.67","0","0","0.0","7.08%","11.53%","0.13754","0.085","0.10548","519105","BSE"
"513642","21.55","0","0","0","0","2.815","50.891","0","0","0.0","0.17%","3.33%","0.04267","0.0","0.0","513642","BSE"
"532215","536.0","0","0","0","0","235.405","78.18","0","0","0.0","21.16%","31.87%","0.0","0.00685","0.0721","532215","BSE"
